NES-TC-USA;T&C 2 - Thrilla's Surfari
NES-TN-USA;T&C Surf Design
NES-OO-USA;Taboo - The Sixth Sense
NES-TT-USA;Tag Team Wrestling
NES-68-USA;TaleSpin
NES-NE-USA;Target - Renegade
NES-TL-USA;Tecmo Baseball
NES-TW-USA;Tecmo Bowl
NES-TP-USA;Tecmo Cup - Soccer Game
NES-BK-USA;Tecmo NBA Basketball
NES-4U-USA;Tecmo Super Bowl
NES-PZ-USA;Tecmo World Wrestling
NES-TF-USA;Teenage Mutant Ninja Turtles - Tournament Fighters
NES-U2-USA;Teenage Mutant Ninja Turtles
NES-2N-USA;Teenage Mutant Ninja Turtles II - The Arcade Game
NES-T3-USA;Teenage Mutant Ninja Turtles III - The Manhattan Project
NES-TE-USA;Tennis
NES-62-USA;Terminator 2 - Judgment Day
NES-NA-USA;Terminator, The
NES-TQ-USA;Terra Cresta
NES-EI-USA;Tetris
NES-TS-USA;Tetris 2
NES-3T-USA;Three Stooges
NES-4T-USA;Thunder & Lightning
NES-T5-USA;Thunderbirds
NES-UD-USA;Thundercade
NES-TI-USA;Tiger-Heli
NES-LZ-USA;Time Lord
NES-5T-USA;Times of Lore
NES-NI-USA;Tiny Toon Adventures
NES-T2-USA;Tiny Toon Adventures 2 - Trouble in Wackyland
NES-CW-USA;Tiny Toon Adventures Cartoon Workshop
NES-ZE-USA;To The Earth
NES-5J-USA;Toki
NES-5Y-USA;Tom & Jerry
NES-2T-USA;Tombs & Treasure
NES-OG-USA;Top Gun - The Second Mission
NES-TG-USA;Top Gun
NES-W1-USA;Top Players' Tennis - Featuring Chris Evert & Ivan Lendl
NES-L4-USA;Total Recall
NES-6T-USA;Totally Rad
NES-T7-USA;Touch Down Fever
NES-TX-USA;Toxic Crusaders
NES-TR-USA;Track & Field
NES-F2-USA;Track & Field II
NES-7U-USA;Treasure Master
NES-4A-USA;Trog
NES-TJ-USA;Trojan
NES-QT-USA;Twin Cobra
NES-2E-USA;Twin Eagle - Revenge Joe's Brother
NES-UL-USA;Ultima - Exodus
NES-US-USA;Ultima - Quest of the Avatar
NES-UT-USA;Ultima - Warriors of Destiny
NES-3Z-USA;Ultimate Air Combat
NES-UJ-USA;Ultimate Basketball
NES-XM-USA;Uncanny X-Men, The
NES-QK-USA;Uncharted Waters
NES-UV-USA;Uninvited
NES-U6-USA;Untouchables, The
NES-UC-USA;Urban Champion
NES-LS-USA;Vegas Dream
NES-9G-USA;Vice - Project Doom
NES-V8-USA;Videomation
NES-VB-USA;Volleyball
NES-WE-USA;Wacky Races
NES-ZM-USA;Wall Street Kid
NES-WB-USA;Wario's Woods
NES-ZY-USA;Wayne Gretzky Hockey
NES-Y8-USA;Wayne's World
NES-S9-USA;WCW World Championship Wrestling
NES-W8-USA;Werewolf - The Last Warrior
NES-Y6-USA;Wheel of Fortune - Starring Vanna White
NES-WF-USA;Wheel of Fortune
NES-W3-USA;Wheel of Fortune Family Edition
NES-WJ-USA;Wheel of Fortune Junior Edition
NES-9K-USA;Where in Time is Carmen Sandiego
NES-6W-USA;Where's Waldo
NES-WL-USA;Who Framed Roger Rabbit
NES-4W-USA;Whomp'Em
NES-W7-USA;Widget
NES-WG-USA;Wild Gunman
